sample_id,domain,error_type,split,clean_domain_mismatch,clean_subdomain_mismatch,clean_topic_mismatch,clean_document_mismatch,clean_total_mismatches,err_domain_mismatch,err_subdomain_mismatch,err_topic_mismatch,err_document_mismatch,err_total_mismatches
nlu_0082_01,medical,domain_term_phonetic_semantic_substitution,unseen,0,0,1,0,1,0,0,1,0,1
nlu_0492_06,technology,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,0,0,0,0
nlu_0496_04,technology,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0374_04,legal,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,0,0,0
nlu_0517_04,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0298_08,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0380_06,legal,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,1,1,1,3
nlu_0217_09,finance,domain_term_phonetic_semantic_substitution,unseen,0,0,1,0,1,0,0,1,0,1
nlu_0308_08,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0170_05,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0103_05,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0395_07,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0213_05,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0530_05,general,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,0,0,0,0
nlu_0271_05,finance,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,0,0,0
nlu_0104_04,medical,domain_term_phonetic_semantic_substitution,unseen,0,0,1,0,1,0,1,1,1,3
nlu_0588_02,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0537_05,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0416_10,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0171_01,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0292_04,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0488_09,technology,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,1,2
nlu_0333_01,legal,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,0,0,0
nlu_0503_07,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0259_03,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0529_04,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0426_01,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0119_07,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0374_08,legal,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,0,0,0
nlu_0079_04,medical,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,1,1,1,3
nlu_0441_03,technology,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,0,0,0,0
nlu_0006_01,medical,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,0,0,0,0
nlu_0072_03,medical,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,0,0,0
nlu_0231_07,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0387_08,legal,domain_term_phonetic_semantic_substitution,validation,0,0,0,1,1,0,0,0,1,1
nlu_0245_07,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0225_01,finance,domain_term_phonetic_semantic_substitution,unseen,0,0,1,0,1,0,0,1,0,1
nlu_0461_04,technology,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,1,1
nlu_0480_01,technology,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0311_04,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0557_07,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0068_07,medical,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,0,0,0
nlu_0556_07,general,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,0,0,0,0
nlu_0364_10,legal,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,0,0,0
nlu_0270_05,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0300_06,finance,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,0,0,0,0
nlu_0157_03,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0365_10,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0247_06,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,0,1
nlu_0035_07,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,0,1
nlu_0150_07,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0235_05,finance,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,0,0,0
nlu_0391_06,legal,domain_term_phonetic_semantic_substitution,validation,0,0,1,0,1,0,0,1,1,2
nlu_0366_09,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,1,2
nlu_0063_03,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0410_07,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,0,1
nlu_0141_01,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0330_08,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0399_06,legal,domain_term_phonetic_semantic_substitution,validation,0,0,1,1,2,0,0,1,1,2
nlu_0519_02,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0462_08,technology,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,0,0,0,0
nlu_0033_05,medical,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,0,0,0
nlu_0300_08,finance,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,0,0,0,0
nlu_0004_08,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0538_05,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0419_05,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0054_01,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,1,1,1,3
nlu_0265_03,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0369_01,legal,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,0,0,0,0
nlu_0235_09,finance,domain_term_phonetic_semantic_substitution,unseen,0,1,1,1,3,0,1,1,1,3
nlu_0279_05,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0550_03,general,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,0,0,0
nlu_0223_06,finance,domain_term_phonetic_semantic_substitution,validation,0,0,1,1,2,0,0,1,1,2
nlu_0108_04,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,0,1
nlu_0120_08,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0514_09,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0027_04,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,1,1,1,3
nlu_0173_10,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,0,1
nlu_0533_09,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0091_08,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,0,1
nlu_0134_06,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0140_04,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
