audio_path,domain,subdomain,intent,entity_type,urgency,emotion,transcript,original_domain,original_subdomain,original_intent,original_entity_type,original_urgency,original_emotion
meld_balanced_1050/anger_dia448_utt9.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"""Oh my God, I cant find a boyfriend!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia206_utt12.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"No, you started it.",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia700_utt3.flac,MASK,MASK,MASK,MASK,MASK,ANGER,No!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia996_utt16.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Theres no or in mind. What is wrong with these pants?!!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia428_utt4.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Come on! Would you please pay attention, I could wake up at any moment!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia195_utt14.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Yeah, well missy, you better be glad that list is laminated.",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia759_utt8.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Who's party is it?,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia1011_utt5.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Well, its about time.",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia835_utt2.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Is that a secret or a lie.,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia637_utt6.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Yknow what Ross? Im not gonna let you get away with this!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia126_utt12.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Shut up! This place is a hole!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia39_utt18.flac,MASK,MASK,MASK,MASK,MASK,ANGER,It does in mine!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia78_utt2.flac,MASK,MASK,MASK,MASK,MASK,ANGER,No Rachel! They got here first!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia844_utt11.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Im Ted, and I just moved here a month ago, and New York really scares me.",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia953_utt6.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"No, Mike, I don't want to kill him!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia772_utt1.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Not so fast Wesley!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia768_utt3.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Oh! Someone's a little cranky today cuz they have to do it in    a cup!  Oh! They gave you the kiddy size .,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia950_utt2.flac,MASK,MASK,MASK,MASK,MASK,ANGER,This year was supposed to be great!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia707_utt14.flac,MASK,MASK,MASK,MASK,MASK,ANGER,I thought I told you to get outta here!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia595_utt2.flac,MASK,MASK,MASK,MASK,MASK,ANGER,He took my snack!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia771_utt14.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"And who knows what science will come up with in the future, but Chandler, what if I die an unsuccessful, regular sized man?",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia1017_utt7.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Pheebs, what are you doing with the coat? How about the whole animal rights thing?",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia374_utt9.flac,MASK,MASK,MASK,MASK,MASK,ANGER,I mean youre not the only ones on your honeymoon!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia395_utt0.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Come on! Admit it! That was the best nap you ever had!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia39_utt3.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Because I sure as hell cant figure it out!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia829_utt2.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Ok, are they listening?",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia264_utt7.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Oh, why dont you make her one of your little jokes.",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia351_utt9.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Oh really? Thats how treat a friend? You get her in trouble and then refuse to marry her?,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia759_utt4.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Barley? What kind of party serves barley?,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia478_utt10.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Why?! To celebrate your relationship! To solidify your commitment! To declare your love for one another to the world!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia1026_utt15.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Well it's not flexed right now!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia113_utt1.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Do you always have to bring him here?,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia513_utt4.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Fine.,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia1012_utt9.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Go!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia1022_utt12.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Hey-hey, yknow what?",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia195_utt8.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Damn! I cant believe I took her off my list.,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia232_utt7.flac,MASK,MASK,MASK,MASK,MASK,ANGER,What is it? Is there something fundamentally unmarriable about me?,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia770_utt14.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"We're supposed to uh, be spending a romantic weekend together, it-it, what is the matter with you?",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia481_utt12.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Rachel, things can get incredibly complicated.",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia528_utt5.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Yeah. Oh I just wish we could not be married for a little bit! Yknow I just wish we could be like on a break!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia888_utt3.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"All right, all right, if you insist on doing this, at least let me help you.",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia524_utt11.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"You keep the old ones in the back, that is so ageist.",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia54_utt7.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Look, Rachels told me how much easier youve made all this on her. Why cant you do that for me?",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia531_utt10.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"All right, look I was just trying to make a good first impression.",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia94_utt6.flac,MASK,MASK,MASK,MASK,MASK,ANGER,If youre gonna get all sensitive about it!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia590_utt11.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"No its Uh, my ex-wife Whitney is out there. I cannot deal with her right now. That woman is crazy!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia374_utt8.flac,MASK,MASK,MASK,MASK,MASK,ANGER,I mean we should get free stuff too!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia251_utt0.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Y'know what? I cannot do this with my left hand! Would you please, help me with this too?",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia1022_utt16.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Its just a healthy expression of female sexuality, which by the way, you will never understand.",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia493_utt12.flac,MASK,MASK,MASK,MASK,MASK,ANGER,No you dont!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia285_utt7.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Yowza,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia996_utt11.flac,MASK,MASK,MASK,MASK,MASK,ANGER,This is our wedding Im talking about.,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia206_utt9.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"All right, that's it. I want both of you out.",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia615_utt14.flac,MASK,MASK,MASK,MASK,MASK,ANGER,...Does the knuckle-cracking bother everybody?,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia835_utt7.flac,MASK,MASK,MASK,MASK,MASK,ANGER,I am strong! Ill show you!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia504_utt12.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Are you afraid youre gonna run out?!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia720_utt9.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"No, the quiet down thing!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia888_utt17.flac,MASK,MASK,MASK,MASK,MASK,ANGER,I dont care! You just get him!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia29_utt8.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Now couldn't you just have made some sort of inappropriate joke?,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia145_utt2.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Hey, I've been honing!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia241_utt8.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"I didn't even think about that!  Aaargh,",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia273_utt1.flac,MASK,MASK,MASK,MASK,MASK,ANGER,I cant figure this out!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia301_utt8.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Hating you!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia451_utt7.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Well, this is my sickness!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia276_utt2.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Hey, come on now!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia758_utt2.flac,MASK,MASK,MASK,MASK,MASK,ANGER,She broke my arm.,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia109_utt20.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Ohhh!!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia312_utt17.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Noo!! I dont care! Im not, Im not gonna playing one-on-one strip poker with you for practice!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia317_utt10.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Hey, you can cancel plans with friends if there is the possibility for sex!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia573_utt8.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Its not something you are! Its something you have!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia908_utt13.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Joey!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia431_utt6.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Ohh, that's so nice! How great! Well, where? Where's the trip?!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia352_utt1.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"I know what time it is, but I'm looking at the WENUS and I'm not happy!...",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia745_utt9.flac,MASK,MASK,MASK,MASK,MASK,ANGER,How could you not give me the message?,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia905_utt2.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Yeah, we-we feel kinda responsible.",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia918_utt9.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"All right, this has got to stop!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia317_utt14.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Okay, I cant just be a way to kill time til you meet someone better!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia10_utt0.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Nobody!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia329_utt4.flac,MASK,MASK,MASK,MASK,MASK,ANGER,I am not!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia295_utt20.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Yeah!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia89_utt0.flac,MASK,MASK,MASK,MASK,MASK,ANGER,This sucks! I didnt know I had to stay up all night before I went to this stupid sleep clinic! Im so tired!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia596_utt19.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Dont call us that!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia272_utt3.flac,MASK,MASK,MASK,MASK,MASK,ANGER,No!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia1025_utt14.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Ross, if you dont tell them, then I will!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia933_utt12.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Joey, honey, I dont think youre supposed to go back there.",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia145_utt12.flac,MASK,MASK,MASK,MASK,MASK,ANGER,It creeps me out!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia861_utt8.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"She is unbelievable, our mother is...",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia304_utt9.flac,MASK,MASK,MASK,MASK,MASK,ANGER,He started mine first!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia545_utt11.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Almost never.,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia410_utt2.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Would you excuse me, please? I'm trying to have a date here.",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia649_utt23.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"No-no-no-no, hes not! No! Why are you trying to ruin the game? Come on!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia210_utt2.flac,MASK,MASK,MASK,MASK,MASK,ANGER,The picture of my wife! In your pack!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia936_utt16.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Look, Rachel, if you go, youre just gonna mess with his head and ruin his wedding!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia39_utt16.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Y'know ah, I-I dont know why my character likes you either, I mean it says in the script here that youre a bitch.",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia109_utt3.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Ha-ha, its not my baby, ha-ha-ha!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia50_utt1.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Dont touch him!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia633_utt9.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Damnit!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia1017_utt9.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Okay, I admit it!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia754_utt4.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Down at the docks again?,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia745_utt11.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Yes, it was! It was him! Uh huh!  Okay, it was me!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia300_utt10.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Wha? Wha..aa? Let me get the father. Hey, we need a father over here! We need a father!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia405_utt2.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"So you win, okay?",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia517_utt0.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Come on more!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia17_utt0.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Okay, see that blind guy right there? I'm gonna bash his head in later.",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia704_utt2.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Calm down? Calm down? You set me up with the woman that I've dumped twice in the last five months!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia717_utt6.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Come on Phoebe, look at that!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia525_utt4.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Shut up!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia295_utt5.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"No, Im gonna!!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia933_utt11.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Just being friendly.,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia188_utt4.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Oh sure I am, because you always have to be right.",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia955_utt2.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"So if I said yes, he would know I had nothing better to do than wait around for an invitation to his stupid party.",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia1017_utt4.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Well, I'm keeping so many things to myself these days, something was bound to slip out!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia74_utt5.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Jason is not a sissy!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia804_utt8.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Well, why dont think of someone else for a change?",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia885_utt3.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Oh, come on! Ill give you ten free",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia206_utt11.flac,MASK,MASK,MASK,MASK,MASK,ANGER,He started it!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia670_utt1.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Oh God, oh.",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia530_utt5.flac,MASK,MASK,MASK,MASK,MASK,ANGER,I took this picture from your fridge.,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia907_utt4.flac,MASK,MASK,MASK,MASK,MASK,ANGER,I won't!  Until I have my next cigarette.,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia64_utt11.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Does calling it not mean anything anymore?!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia605_utt1.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"For God's sake, will you let it go? There's no Rachel!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia700_utt8.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Oh b-b-but it is!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia686_utt3.flac,MASK,MASK,MASK,MASK,MASK,ANGER,I said Ill do it!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia853_utt11.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Because! Because, it-it-its Itd be like you having this guitar  and-and never playing it. Okay, this guitar",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia996_utt3.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Emily, do you think Monica realises how much our parents spent on this wedding?",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia430_utt8.flac,MASK,MASK,MASK,MASK,MASK,ANGER,No,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia317_utt3.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"""Pheebs, cant make it, got a date. Talk to you later. Big Daddy.""  Big Daddy?",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia260_utt1.flac,MASK,MASK,MASK,MASK,MASK,ANGER,She cancelled! My namesake cancelled on me!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia145_utt6.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"I might have some kind of life, like I haven't been sitting around here honing for the past few hours.",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia431_utt16.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Y'know, I've been meaning to talk to you about this whole, little, new European thing you got going on, and I just need to tell you that it makes me very uncomfortable and I justy'knowstop it!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia451_utt1.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Ok, look! Enough is enough!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia588_utt5.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Apparently youre not very good at it!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia794_utt6.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Now just tell Emily that I love her and that I cant imagine spending my life with anyone else.,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia153_utt12.flac,MASK,MASK,MASK,MASK,MASK,ANGER,I could play the oboe!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia181_utt0.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Man, Im starving! What the hell was I thinking at dinner?! ""Do you want soup or salad?"" Both! Always order both!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia271_utt9.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"You'd better do something, or I'm gonna walk out that door right now! Well? Are you gonna?",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia456_utt7.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Phoebe, I asked you to guard the ring!",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/disgust_dia112_utt4.flac,MASK,MASK,MASK,MASK,MASK,DISGUST,"The big deal is I dont want naked, greasy strangers in my apartment when I want to kick back with a puzzlebeer! Cold beer.",MASK,MASK,MASK,MASK,MASK,disgust
meld_balanced_1050/disgust_dia431_utt18.flac,MASK,MASK,MASK,MASK,MASK,DISGUST,"That's fine, just don't bring it in my mouth.",MASK,MASK,MASK,MASK,MASK,disgust
