canonical_name,definition,positive_criteria,negative_criteria,head,cluster_id,support
MEDICAL_CONDITION,"A specific ailment, symptom, or health issue being described or discussed.","[""Mention of specific diseases (e.g., 'jaundice', 'kidney cyst', 'urinary tract infection')."", ""Description of symptoms (e.g., 'weakness', 'slurred speech', 'burning pain while urinating', 'crushing pressure in my chest')."", ""Reference to test results indicating a condition (e.g., 'red blood cells, 71 in white blood cells, 467')."", ""Mention of injuries (e.g., 'deep cut with continuous heavy bleeding').""]","[""General requests for advice without specifying a condition (e.g., 'Please advise' without context)."", 'Statements purely about administrative or logistical needs unrelated to health.']",entity_type,3.0,1048.0
LOCATION_QUERY,A question asking for the location or a specific place.,"[""contains 'capital of'"", ""contains 'where is'""]","[""asks about a person's name"", 'asks about a concept or abstract idea']",entity_type,4.0,4.0
PERSON,A specific individual person.,"['Names of people (e.g., Richard Nixon, Barack Obama)', 'References to individuals in a context that requires identification of a person']","['Geographical locations (e.g., Paris, France)', 'Organizations or companies (e.g., Google, UN)']",entity_type,5.0,2.0
MATERIAL_OR_ELEMENT,"Refers to a specific substance, element, or material.","['Mentions specific chemical elements (e.g., iron, gold).', 'Refers to physical substances or materials (e.g., plastic, water).']","['Refers to abstract concepts (e.g., justice, happiness).', 'Refers to types of radiation or energy (e.g., ultraviolet ray, light).']",entity_type,6.0,4.0
LOW,Standard LOW,[],[],urgency,,
MEDIUM,Standard MEDIUM,[],[],urgency,,
HIGH,Standard HIGH,[],[],urgency,,
CRITICAL,Standard CRITICAL,[],[],urgency,,
ANGER,Standard ANGER,[],[],emotion,,
DISGUST,Standard DISGUST,[],[],emotion,,
FEAR,Standard FEAR,[],[],emotion,,
JOY,Standard JOY,[],[],emotion,,
NEUTRAL,Standard NEUTRAL,[],[],emotion,,
SADNESS,Standard SADNESS,[],[],emotion,,
SURPRISE,Standard SURPRISE,[],[],emotion,,
