sample_id,scenario_id,split,domain,reference_transcript,controlled_transcript,error_injected,error_type,source_term,replacement_term,replacement_similarity,error_location,controlled_S,controlled_D,controlled_I,controlled_N,controlled_WER,transcript_changed
nlu_0563_06,S0563,train,general,"I am trying to ask about a delivery, and this is as part of the current review, the person handling the matter, during the present round of discussion.","I am trying to ask about a delivery, and this is as part of the current review, the person change the matter, during the present round of discussion.",1,domain_term_phonetic_semantic_substitution,handling,change,0.5,single_domain_term,1,0,0,28,0.03571428571428571,1
nlu_0490_05,S0490,validation,technology,"The specialist discussed the documented issue involving attention during the latest incident; at the current stage, the assigned professional, before the next decision. The record specifically references transformer model.","The specialist discussed the docker issue involving attention during the latest incident; at the current stage, the assigned professional, before the next decision. The record specifically references transformer model.",1,domain_term_phonetic_semantic_substitution,documented,docker,0.525,single_domain_term,1,0,0,29,0.034482758620689655,1
nlu_0411_03,S0411,unseen,legal,"The current available evidence requires further account, especially in relation to the relationship between motion to dismiss and complaint; at the current stage, the relevant team, during the present round of discussion. The discussion also considers complaint.","The current available evidence requires further account, especially in relation to the relationship between motion to dismiss and complaint; at the current stage, the relevant team, during the present round of discussion. The discussion also confidential complaint.",1,domain_term_phonetic_semantic_substitution,considers,confidential,0.5807692307692308,single_domain_term,1,0,0,37,0.02702702702702703,1
nlu_0127_02,S0127,unseen,medical,"The team is evaluating neuropathy in the context of sensory deficit, with particular attention to the reported issue; at the current stage, the case team, after the latest information was reviewed. The record specifically references neuropathy.","The team is evaluating neuropathy in the context of sensory deficit, with particular attention to the reported issue; at the current stage, the case team, after the latest information was reviewed. The record specifically warfarin neuropathy.",1,domain_term_phonetic_semantic_substitution,references,warfarin,0.5191919191919192,single_domain_term,1,0,0,36,0.027777777777777776,1
nlu_0234_09,S0234,unseen,finance,"The professional handling the matter is reviewing the effect of loan delinquency on the overall situation and the associated observed changes; following the previous discussion, the relevant team, before the next decision.","The professional handling the matter is reviewing the effect of loan diligence on the overall situation and the associated observed changes; following the previous discussion, the relevant team, before the next decision.",1,domain_term_phonetic_semantic_substitution,delinquency,diligence,0.5433333333333333,single_domain_term,1,0,0,32,0.03125,1
nlu_0009_05,S0009,train,medical,"The specialist discussed the documented issue involving atrial fibrillation during the latest account; during the ongoing evaluation, the reviewing organization, after the latest information was reviewed. The record specifically references irregularly irregular rhythm.","The specialist discussed the documented issue involving atrial fibrillation during the latest account; during the ongoing evaluation, the reviewing catheterization, after the latest information was reviewed. The record specifically references irregularly irregular rhythm.",1,domain_term_phonetic_semantic_substitution,organization,catheterization,0.49312169312169307,single_domain_term,1,0,0,33,0.030303030303030304,1
nlu_0383_02,S0383,validation,legal,"The team is evaluating plaintiff in the context of civil action, with particular attention to the reported issue; at the next decision point, the relevant team, after the latest information was reviewed. The record specifically references plaintiff.","The team is evaluating plaintiff in the context of civil action, with particular attention to the reported issue; at the next decision point, the relevant team, after the latest information was reviewed. The record specifically representations plaintiff.",1,domain_term_phonetic_semantic_substitution,references,representations,0.6037142857142856,single_domain_term,1,0,0,37,0.02702702702702703,1
nlu_0266_04,S0266,train,finance,"A detailed adjustment was requested concerning the implications of portfolio allocation; during the most recent assessment, the person handling the matter, while comparing the available options.","A detailed adjustment was requested concerning the valuation of portfolio allocation; during the most recent assessment, the person handling the matter, while comparing the available options.",1,domain_term_phonetic_semantic_substitution,implications,valuation,0.47272727272727266,single_domain_term,1,0,0,26,0.038461538461538464,1
nlu_0555_06,S0555,train,general,"I am trying to ask for opening hours, and this is as part of the current review, the relevant team, before the next decision.","I am trying to ask for opening hours, and this is as part of the current review, the relevant team, before the next directions.",1,domain_term_phonetic_semantic_substitution,decision,directions,0.5333333333333333,single_domain_term,1,0,0,24,0.041666666666666664,1
nlu_0275_07,S0275,unseen,finance,"The latest review focused on the evidence related to enterprise value; after the latest information became available, the case team, while comparing the available options. The discussion also considers discounted cash flow.","The latest review focused on the evidence related to enterprise value; after the latest information became available, the case team, while comparing the available options. The discussion also considers diversification cash flow.",1,domain_term_phonetic_semantic_substitution,discounted,diversification,0.6037142857142856,single_domain_term,1,0,0,32,0.03125,1
nlu_0286_09,S0286,train,finance,"The professional handling the matter is reviewing the effect of realized return on the overall situation and the associated observed changes; during the most recent assessment, the reviewing group, before the matter is finalized.","The professional handling the matter is reviewing the effect of realized return on the overall situation and the discounted observed changes; during the most recent assessment, the reviewing group, before the matter is finalized.",1,domain_term_phonetic_semantic_substitution,associated,discounted,0.575,single_domain_term,1,0,0,34,0.029411764705882353,1
nlu_0100_07,S0100,unseen,medical,"The latest exposure focused on the evidence related to EEG; at the next decision point, the reviewing group, before the next decision. The discussion also considers seizure activity.","The latest exposure focused on the evidence related to EEG; at the next decision point, the reviewing group, before the next decision. The discussion also control seizure activity.",1,domain_term_phonetic_semantic_substitution,considers,control,0.5977272727272727,single_domain_term,1,0,0,28,0.03571428571428571,1
nlu_0023_09,S0023,train,medical,"The professional handling the matter is reviewing the effect of coronary stenosis on the overall situation and the associated observed changes; as part of the current review, the case team, while comparing the available options.","The professional handling the matter is reviewing the effect of coronary stenosis on the overall situation and the activated observed changes; as part of the current review, the case team, while comparing the available options.",1,domain_term_phonetic_semantic_substitution,associated,activated,0.5912280701754385,single_domain_term,1,0,0,35,0.02857142857142857,1
nlu_0327_05,S0327,train,legal,"The specialist discussed the documented issue involving contract performance during the latest screening; at the current stage, the current reviewer, while considering the current evidence. The record specifically references force majeure.","The specialist discussed the documented issue involving contract period during the latest screening; at the current stage, the current reviewer, while considering the current evidence. The record specifically references force majeure.",1,domain_term_phonetic_semantic_substitution,performance,period,0.5147058823529412,single_domain_term,1,0,0,31,0.03225806451612903,1
nlu_0483_09,S0483,train,technology,"The professional handling the matter is reviewing the effect of embedding on the overall situation and the associated observed changes; at the next decision point, the technical or professional team, after the latest information was reviewed.","The professional handling the matter is reviewing the effect of embedding on the overall situation and the automated observed changes; at the next decision point, the technical or professional team, after the latest information was reviewed.",1,domain_term_phonetic_semantic_substitution,associated,automated,0.47105263157894733,single_domain_term,1,0,0,36,0.027777777777777776,1
nlu_0395_03,S0395,train,legal,"The current available evidence requires further authorization, especially in relation to the relationship between deposition and witness testimony; after the latest information became available, the relevant team, before the matter is finalized. The discussion also considers witness testimony.","The current available evidence requires further authority, especially in relation to the relationship between deposition and witness testimony; after the latest information became available, the relevant team, before the matter is finalized. The discussion also considers witness testimony.",1,domain_term_phonetic_semantic_substitution,authorization,authority,0.7681818181818182,single_domain_term,1,0,0,38,0.02631578947368421,1
nlu_0546_10,S0546,train,general,"I need some information because I want to check train status; at the current stage, the technical or professional team, while comparing the available options.","I need some information because I want to check train status; at the current stage, the technical or professional team, weather comparing the available options.",1,domain_term_phonetic_semantic_substitution,while,weather,0.4607142857142857,single_domain_term,1,0,0,25,0.04,1
nlu_0384_03,S0384,train,legal,"The current available evidence requires further exposure, especially in relation to the relationship between plaintiff and claim; at the current stage, the reviewing organization, while comparing the available options. The discussion also considers claim.","The current available evidence requires further exposure, especially in relation to the relationship between plaintiff and claim; at the current stage, the reviewing termination, while comparing the available options. The discussion also considers claim.",1,domain_term_phonetic_semantic_substitution,organization,termination,0.5463768115942029,single_domain_term,1,0,0,34,0.029411764705882353,1
nlu_0166_03,S0166,validation,medical,"The current available evidence requires further monitoring, especially in relation to the relationship between warfarin and anticoagulation; after the latest information became available, the current reviewer, while comparing the available options. The discussion also considers anticoagulation.","The current available evidence requires further monitoring, especially in relation to the relationship between warfarin and antibiotic; after the latest information became available, the current reviewer, while comparing the available options. The discussion also considers anticoagulation.",1,domain_term_phonetic_semantic_substitution,anticoagulation,antibiotic,0.596,single_domain_term,1,0,0,36,0.027777777777777776,1
nlu_0008_10,S0008,train,medical,"Further authorization is needed before a final decision is made about the decision surrounding coronary occlusion; following the previous discussion, the current reviewer, after the latest information was reviewed. The record specifically references myocardial ischemia.","Further catheterization is needed before a final decision is made about the decision surrounding coronary occlusion; following the previous discussion, the current reviewer, after the latest information was reviewed. The record specifically references myocardial ischemia.",1,domain_term_phonetic_semantic_substitution,authorization,catheterization,0.7035714285714285,single_domain_term,1,0,0,35,0.02857142857142857,1
nlu_0097_05,S0097,train,medical,"The specialist discussed the documented issue involving seizure activity during the latest review; following the previous discussion, the assigned professional, before the next decision. The record specifically references seizure disorder.","The specialist discussed the documented issue involving seizure activity during the latest review; following the previous discussion, the assigned professional, before the next decision. The record specifically warfarin seizure disorder.",1,domain_term_phonetic_semantic_substitution,references,warfarin,0.5191919191919192,single_domain_term,1,0,0,30,0.03333333333333333,1
nlu_0093_07,S0093,train,medical,"The latest response focused on the evidence related to electroencephalography; during the ongoing evaluation, the relevant team, before the next decision. The discussion also considers seizure disorder.","The latest response focused on the evidence related to electrocardiographic; during the ongoing evaluation, the relevant team, before the next decision. The discussion also considers seizure disorder.",1,domain_term_phonetic_semantic_substitution,electroencephalography,electrocardiographic,0.7461538461538462,single_domain_term,1,0,0,27,0.037037037037037035,1
nlu_0080_05,S0080,train,medical,"The specialist discussed the documented issue involving cerebral infarction during the latest report; following the previous discussion, the assigned professional, while considering the current evidence. The record specifically references ischemic stroke.","The specialist discussed the documented issue involving cerebral infarction during the latest report; following the previous discussion, the assigned professional, while considering the current evidence. The record specifically warfarin ischemic stroke.",1,domain_term_phonetic_semantic_substitution,references,warfarin,0.5191919191919192,single_domain_term,1,0,0,31,0.03225806451612903,1
nlu_0338_10,S0338,train,legal,"Further record is needed before a final decision is made about the decision surrounding contract interpretation; during the latest review, the current reviewer, while comparing the available options. The record specifically references governing law.","Further record is needed before a final decision is made about the decision surrounding contract interrogatories; during the latest review, the current reviewer, while comparing the available options. The record specifically references governing law.",1,domain_term_phonetic_semantic_substitution,interpretation,interrogatories,0.6529556650246305,single_domain_term,1,0,0,34,0.029411764705882353,1
nlu_0317_05,S0317,train,legal,"The specialist discussed the documented issue involving confidential information during the latest review; during the latest review, the responsible specialist, while comparing the available options. The record specifically references confidentiality clause.","The specialist discussed the documented issue involving confidential information during the latest review; during the latest review, the responsible specialist, while comparing the available options. The record specifically references contractual clause.",1,domain_term_phonetic_semantic_substitution,confidentiality,contractual,0.5615384615384615,single_domain_term,1,0,0,31,0.03225806451612903,1
nlu_0466_08,S0466,train,technology,"The case involves the reported concern involving REST API, and the relevant relevant records is being assessed; after the recent update, the reviewing group, during the present round of discussion. The record specifically references REST API.","The case involves the reported concern involving REST API, and the relevant relevant records is being assessed; after the recent update, the reviewing group, embedding the present round of discussion. The record specifically references REST API.",1,domain_term_phonetic_semantic_substitution,during,embedding,0.52,single_domain_term,1,0,0,36,0.027777777777777776,1
nlu_0332_02,S0332,train,legal,"The team is evaluating indemnification clause in the context of losses, with particular attention to the reported issue; as part of the current review, the person handling the matter, after the latest information was reviewed. The record specifically references indemnification clause.","The team is evaluating interpretation clause in the context of losses, with particular attention to the reported issue; as part of the current review, the person handling the matter, after the latest information was reviewed. The record specifically references indemnification clause.",1,domain_term_phonetic_semantic_substitution,indemnification,interpretation,0.5431034482758621,single_domain_term,1,0,0,41,0.024390243902439025,1
nlu_0394_05,S0394,validation,legal,"The specialist discussed the documented issue involving witness testimony during the latest transfer; in the current round of review, the current reviewer, before the next decision. The record specifically references deposition.","The specialist discussed the documented issue involving witness testimony during the latest transfer; in the current round of review, the current reviewer, before the next decision. The record specifically representations deposition.",1,domain_term_phonetic_semantic_substitution,references,representations,0.6037142857142856,single_domain_term,1,0,0,31,0.03225806451612903,1
nlu_0108_05,S0108,train,medical,"The specialist discussed the documented issue involving visual aura during the latest model; at the current stage, the decision-making group, during the present round of discussion. The record specifically references migraine with aura.","The specialist discussed the documented issue involving visual aura during the latest model; at the current stage, the decision-making group, during the present round of discussion. The record specifically warfarin migraine with aura.",1,domain_term_phonetic_semantic_substitution,references,warfarin,0.5191919191919192,single_domain_term,1,0,0,34,0.029411764705882353,1
nlu_0485_01,S0485,train,technology,"The current findings was reviewed in relation to vector database and embedding, at the next decision point, the decision-making group, while considering the current evidence.","The current findings was reviewed in relation to vector database and embedding, at the next decision endpoint, the decision-making group, while considering the current evidence.",1,domain_term_phonetic_semantic_substitution,point,endpoint,0.6442307692307692,single_domain_term,1,0,0,26,0.038461538461538464,1
nlu_0419_04,S0419,train,legal,"A detailed analysis was requested concerning the implications of summary judgment; during the latest review, the decision-making group, during the present round of discussion.","A detailed analysis was requested concerning the indemnification of summary judgment; during the latest review, the decision-making group, during the present round of discussion.",1,domain_term_phonetic_semantic_substitution,implications,indemnification,0.5,single_domain_term,1,0,0,25,0.04,1
nlu_0203_05,S0203,train,finance,"The specialist discussed the documented issue involving anti-money laundering during the latest record; after the recent update, the relevant team, before the matter is finalized. The record specifically references AML.","The specialist discussed the documented issue involving anti-money laundering during the latest record; after the recent update, the relevant team, before the matter is finalized. The record specifically return AML.",1,domain_term_phonetic_semantic_substitution,references,return,0.625,single_domain_term,1,0,0,31,0.03225806451612903,1
nlu_0568_08,S0568,train,general,"Is it possible to change a reservation, considering in the current round of review, the person handling the matter, before the matter is finalized?","Is it possible to change a request, considering in the current round of review, the person handling the matter, before the matter is finalized?",1,domain_term_phonetic_semantic_substitution,reservation,request,0.6055555555555555,single_domain_term,1,0,0,24,0.041666666666666664,1
nlu_0464_05,S0464,train,technology,"The specialist discussed the documented issue involving HTTP endpoint during the latest monitoring; as part of the current review, the case team, during the present round of discussion. The record specifically references REST API.","The specialist discussed the docker issue involving HTTP endpoint during the latest monitoring; as part of the current review, the case team, during the present round of discussion. The record specifically references REST API.",1,domain_term_phonetic_semantic_substitution,documented,docker,0.525,single_domain_term,1,0,0,34,0.029411764705882353,1
nlu_0175_06,S0175,validation,medical,"The available evidence was considered before deciding how to address the current status of atorvastatin; following the previous discussion, the responsible specialist, while comparing the available options.","The available evidence was considered before deciding how to address the current status of atherosclerotic; following the previous discussion, the responsible specialist, while comparing the available options.",1,domain_term_phonetic_semantic_substitution,atorvastatin,atherosclerotic,0.5722222222222222,single_domain_term,1,0,0,27,0.037037037037037035,1
nlu_0315_04,S0315,train,legal,"A detailed transfer was requested concerning the implications of confidentiality clause; at the next decision point, the reviewing organization, during the present round of discussion.","A detailed transfer was requested concerning the implications of contractual clause; at the next decision point, the reviewing organization, during the present round of discussion.",1,domain_term_phonetic_semantic_substitution,confidentiality,contractual,0.5615384615384615,single_domain_term,1,0,0,25,0.04,1
nlu_0327_04,S0327,train,legal,"A detailed strategy was requested concerning the implications of force majeure; at the current stage, the current reviewer, while considering the current evidence.","A detailed strategy was requested concerning the indemnification of force majeure; at the current stage, the current reviewer, while considering the current evidence.",1,domain_term_phonetic_semantic_substitution,implications,indemnification,0.5,single_domain_term,1,0,0,23,0.043478260869565216,1
nlu_0313_02,S0313,train,finance,"The team is evaluating yield curve in the context of maturity, with particular attention to the reported issue; as part of the current review, the person handling the matter, while considering the current evidence. The record specifically references yield curve.","The team is evaluating yield curve in the context of maturity, with particular attention to the reported issue; as part of the current review, the person handling the matter, while considering the current evidence. The record specifically return yield curve.",1,domain_term_phonetic_semantic_substitution,references,return,0.625,single_domain_term,1,0,0,40,0.025,1
nlu_0146_02,S0146,train,medical,"The team is evaluating amoxicillin in the context of bacterial infection, with particular attention to the reported issue; as part of the current review, the reviewing organization, while comparing the available options. The record specifically references amoxicillin.","The team is evaluating amoxicillin in the context of bacterial infection, with particular attention to the reported issue; as part of the current review, the reviewing catheterization, while comparing the available options. The record specifically references amoxicillin.",1,domain_term_phonetic_semantic_substitution,organization,catheterization,0.49312169312169307,single_domain_term,1,0,0,37,0.02702702702702703,1
nlu_0044_10,S0044,train,medical,"Further account is needed before a final decision is made about the decision surrounding ejection fraction; during the ongoing evaluation, the relevant team, while considering the current evidence. The record specifically references echocardiography.","Further account is needed before a final decision is made about the decision surrounding ejection fraction; during the ongoing evaluation, the relevant team, while considering the current evidence. The record specifically references electrocardiographic.",1,domain_term_phonetic_semantic_substitution,echocardiography,electrocardiographic,0.6358585858585859,single_domain_term,1,0,0,33,0.030303030303030304,1
