sample_id,scenario_id,split,paraphrase_id,transcript,domain_label,subdomain_label,topic_label,document_type_label,target_term,target_source,term_char_start,term_char_end,target_domain,noise_strategy,recommended_noise_type,recommended_snr_db,recommended_corruption_duration,keep_original_audio,note,target_terms,target_term_count,target_sources,target_selection_logic
nlu_0531_03,S0531,train,3,"Please help me confirm a meeting; this is after the latest information became available, the case team, during the present round of discussion.",general,NONE,NONE,NONE,confirm,domain_specific_lexical_fallback,15,22,general,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,,0,,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0262_02,S0262,train,2,"The team is evaluating portfolio allocation in the context of asset weights, with particular attention to the reported issue; as part of the current review, the reviewing organization, while considering the current evidence. The record specifically references portfolio allocation.",finance,investment,portfolio allocation,portfolio review,portfolio allocation,topic_label,23,43,finance,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,portfolio allocation; weights,2,portfolio allocation:topic; weights:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0082_02,S0082,unseen,2,"The team is evaluating cerebral infarction in the context of diffusion restriction, with particular attention to the reported issue; during the latest review, the reviewing group, while considering the current evidence. The record specifically references cerebral infarction.",medical,neurology,cerebral infarction,MRI brain report,cerebral infarction,topic_label,23,42,medical,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,cerebral infarction; diffusion,2,cerebral infarction:topic; diffusion:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0040_04,S0040,train,4,"A detailed case was requested concerning the implications of troponin; during the latest review, the assigned professional, while considering the current evidence.",medical,cardiology,troponin,cardiology consultation,troponin,topic_label,61,69,medical,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,troponin,1,troponin:topic,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0360_04,S0360,train,4,"A detailed case was requested concerning the implications of material breach; at the current stage, the person handling the matter, while comparing the available options.",legal,contracts,material breach,contract dispute,material breach,topic_label,61,76,legal,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,material breach,1,material breach:topic,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0264_09,S0264,train,9,"The professional handling the matter is reviewing the effect of diversification on the overall situation and the associated observed changes; as part of the current review, the relevant team, after the latest information was reviewed.",finance,investment,portfolio allocation,portfolio review,diversification,domain_specific_lexical_fallback,64,79,finance,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,diversification,1,diversification:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0219_08,S0219,train,8,"The case involves the reported concern involving mortgage underwriting, and the relevant relevant records is being assessed; during the most recent assessment, the technical or professional team, before the next decision. The record specifically references mortgage underwriting.",finance,banking,mortgage underwriting,loan application,mortgage underwriting,topic_label,49,70,finance,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,mortgage underwriting,1,mortgage underwriting:topic,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0536_02,S0536,train,2,"Could you help me with check a booking? This is at the current stage, the reviewing group, while comparing the available options.",general,NONE,NONE,NONE,booking,domain_specific_lexical_fallback,31,38,general,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,booking,1,booking:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0032_10,S0032,train,10,"Further review is needed before a final decision is made about the decision surrounding ischemic pattern; during the most recent assessment, the relevant team, while comparing the available options. The record specifically references ST-segment elevation.",medical,cardiology,ST elevation,ECG interpretation,pattern,domain_specific_lexical_fallback,97,104,medical,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,elevation; st-segment; ischemic; pattern,4,elevation:topic; st-segment:domain_lexical; ischemic:domain_lexical; pattern:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0017_08,S0017,train,8,"The case involves the reported concern involving coronary artery disease, and the relevant relevant records is being assessed; during the ongoing evaluation, the assigned professional, while comparing the available options. The record specifically references coronary artery disease.",medical,cardiology,coronary artery disease,cardiac imaging report,coronary artery disease,topic_label,49,72,medical,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,coronary artery disease,1,coronary artery disease:topic,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0075_07,S0075,train,7,"The latest review focused on the evidence related to focal neurological deficit; as part of the current review, the current reviewer, before the matter is finalized. The discussion also considers cerebral infarction.",medical,neurology,ischemic stroke,stroke assessment,neurological,domain_specific_lexical_fallback,59,71,medical,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,neurological; infarction; cerebral; deficit,4,neurological:domain_lexical; infarction:domain_lexical; cerebral:domain_lexical; deficit:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0548_01,S0548,validation,1,"I need help with change a reservation, at the current stage, the assigned professional, while considering the current evidence.",general,NONE,NONE,NONE,reservation,domain_specific_lexical_fallback,26,37,general,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,reservation; change,2,reservation:domain_lexical; change:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0371_08,S0371,unseen,8,"The case involves the reported concern involving termination provision, and the relevant relevant records is being assessed; in the current round of review, the person handling the matter, before the next decision. The record specifically references termination provision.",legal,contracts,termination provision,commercial contract,termination provision,topic_label,49,70,legal,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,termination provision,1,termination provision:topic,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0277_05,S0277,unseen,5,"The specialist discussed the documented issue involving P/E during the latest review; after the recent update, the relevant team, before the next decision. The record specifically references price-to-earnings ratio.",finance,investment,price-to-earnings ratio,valuation report,price-to-earnings ratio,topic_label,191,214,finance,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,price-to-earnings ratio,1,price-to-earnings ratio:topic,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0512_03,S0512,unseen,3,"Please help me plan a trip; this is in the current round of review, the reviewing organization, before the next decision.",general,NONE,NONE,NONE,organization,domain_specific_lexical_fallback,82,94,general,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,organization; before,2,organization:general_content; before:general_content,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0401_07,S0401,train,7,"The latest record focused on the evidence related to sworn statement; at the current stage, the person handling the matter, before the next decision. The discussion also considers witness testimony.",legal,litigation,deposition,deposition record,statement,domain_specific_lexical_fallback,59,68,legal,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,testimony; statement; witness,3,testimony:domain_lexical; statement:domain_lexical; witness:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0188_02,S0188,train,2,"The team is evaluating levothyroxine in the context of TSH, with particular attention to the reported issue; following the previous discussion, the current reviewer, before the matter is finalized. The record specifically references levothyroxine.",medical,pharmacology,levothyroxine,dose adjustment,levothyroxine,topic_label,23,36,medical,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,levothyroxine,1,levothyroxine:topic,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0576_07,S0576,train,7,"I would like to check a booking; the situation is during the latest review, the responsible specialist, before the next decision.",general,NONE,NONE,NONE,booking,domain_specific_lexical_fallback,24,31,general,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,booking,1,booking:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0320_04,S0320,train,4,"A detailed case was requested concerning the implications of confidentiality clause; as part of the current review, the decision-making group, after the latest information was reviewed.",legal,contracts,confidentiality clause,clause analysis,confidentiality clause,topic_label,61,83,legal,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,confidentiality clause,1,confidentiality clause:topic,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0376_05,S0376,train,5,"The specialist discussed the documented issue involving termination right during the latest assessment; at the next decision point, the assigned professional, before the next decision. The record specifically references termination provision.",legal,contracts,termination provision,commercial contract,termination provision,topic_label,220,241,legal,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,termination provision,1,termination provision:topic,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0563_06,S0563,train,6,"I am trying to ask about a delivery, and this is as part of the current review, the person handling the matter, during the present round of discussion.",general,NONE,NONE,NONE,delivery,domain_specific_lexical_fallback,27,35,general,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,trying,1,trying:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0490_05,S0490,validation,5,"The specialist discussed the documented issue involving attention during the latest incident; at the current stage, the assigned professional, before the next decision. The record specifically references transformer model.",technology,software_engineering,transformer model,software design,transformer model,topic_label,204,221,technology,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,transformer model,1,transformer model:topic,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0411_03,S0411,unseen,3,"The current available evidence requires further account, especially in relation to the relationship between motion to dismiss and complaint; at the current stage, the relevant team, during the present round of discussion. The discussion also considers complaint.",legal,litigation,motion to dismiss,pleading,motion to dismiss,topic_label,108,125,legal,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,motion dismiss; complaint,2,motion dismiss:topic; complaint:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0127_02,S0127,unseen,2,"The team is evaluating neuropathy in the context of sensory deficit, with particular attention to the reported issue; at the current stage, the case team, after the latest information was reviewed. The record specifically references neuropathy.",medical,neurology,neuropathy,neurological examination,neuropathy,topic_label,23,33,medical,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,neuropathy; deficit; sensory,3,neuropathy:topic; deficit:domain_lexical; sensory:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0234_09,S0234,unseen,9,"The professional handling the matter is reviewing the effect of loan delinquency on the overall situation and the associated observed changes; following the previous discussion, the relevant team, before the next decision.",finance,banking,non-performing asset,banking case,delinquency,domain_specific_lexical_fallback,69,80,finance,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,delinquency,1,delinquency:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0009_05,S0009,train,5,"The specialist discussed the documented issue involving atrial fibrillation during the latest account; during the ongoing evaluation, the reviewing organization, after the latest information was reviewed. The record specifically references irregularly irregular rhythm.",medical,cardiology,atrial fibrillation,ECG interpretation,atrial fibrillation,topic_label,56,75,medical,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,atrial fibrillation; irregularly; irregular; rhythm,4,atrial fibrillation:topic; irregularly:domain_lexical; irregular:domain_lexical; rhythm:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0383_02,S0383,validation,2,"The team is evaluating plaintiff in the context of civil action, with particular attention to the reported issue; at the next decision point, the relevant team, after the latest information was reviewed. The record specifically references plaintiff.",legal,litigation,plaintiff,pleading,plaintiff,topic_label,23,32,legal,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,plaintiff; action,2,plaintiff:topic; action:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0266_04,S0266,train,4,"A detailed adjustment was requested concerning the implications of portfolio allocation; during the most recent assessment, the person handling the matter, while comparing the available options.",finance,investment,portfolio allocation,portfolio review,portfolio allocation,topic_label,67,87,finance,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,portfolio allocation,1,portfolio allocation:topic,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0555_06,S0555,train,6,"I am trying to ask for opening hours, and this is as part of the current review, the relevant team, before the next decision.",general,NONE,NONE,NONE,hours,domain_specific_lexical_fallback,31,36,general,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,opening; trying,2,opening:domain_lexical; trying:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0275_07,S0275,unseen,7,"The latest review focused on the evidence related to enterprise value; after the latest information became available, the case team, while comparing the available options. The discussion also considers discounted cash flow.",finance,investment,equity valuation,valuation report,enterprise,domain_specific_lexical_fallback,53,63,finance,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,discounted; enterprise,2,discounted:domain_lexical; enterprise:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0286_09,S0286,train,9,"The professional handling the matter is reviewing the effect of realized return on the overall situation and the associated observed changes; during the most recent assessment, the reviewing group, before the matter is finalized.",finance,investment,capital gains,market analysis,realized,domain_specific_lexical_fallback,64,72,finance,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,realized; return,2,realized:domain_lexical; return:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0100_07,S0100,unseen,7,"The latest exposure focused on the evidence related to EEG; at the next decision point, the reviewing group, before the next decision. The discussion also considers seizure activity.",medical,neurology,seizure disorder,EEG interpretation,activity,domain_specific_lexical_fallback,173,181,medical,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,activity; seizure,2,activity:domain_lexical; seizure:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0023_09,S0023,train,9,"The professional handling the matter is reviewing the effect of coronary stenosis on the overall situation and the associated observed changes; as part of the current review, the case team, while comparing the available options.",medical,cardiology,coronary artery disease,cardiac imaging report,stenosis,domain_specific_lexical_fallback,73,81,medical,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,coronary; stenosis,2,coronary:domain_lexical; stenosis:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0327_05,S0327,train,5,"The specialist discussed the documented issue involving contract performance during the latest screening; at the current stage, the current reviewer, while considering the current evidence. The record specifically references force majeure.",legal,contracts,force majeure,agreement,force majeure,topic_label,225,238,legal,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,force majeure; performance; contract,3,force majeure:topic; performance:domain_lexical; contract:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0483_09,S0483,train,9,"The professional handling the matter is reviewing the effect of embedding on the overall situation and the associated observed changes; at the next decision point, the technical or professional team, after the latest information was reviewed.",technology,software_engineering,vector database,architecture review,embedding,domain_specific_lexical_fallback,64,73,technology,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,embedding,1,embedding:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0395_03,S0395,train,3,"The current available evidence requires further authorization, especially in relation to the relationship between deposition and witness testimony; after the latest information became available, the relevant team, before the matter is finalized. The discussion also considers witness testimony.",legal,litigation,deposition,deposition record,deposition,topic_label,114,124,legal,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,deposition; testimony; witness,3,deposition:topic; testimony:domain_lexical; witness:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0546_10,S0546,train,10,"I need some information because I want to check train status; at the current stage, the technical or professional team, while comparing the available options.",general,NONE,NONE,NONE,status,domain_specific_lexical_fallback,54,60,general,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,because,1,because:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0384_03,S0384,train,3,"The current available evidence requires further exposure, especially in relation to the relationship between plaintiff and claim; at the current stage, the reviewing organization, while comparing the available options. The discussion also considers claim.",legal,litigation,plaintiff,pleading,plaintiff,topic_label,109,118,legal,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,plaintiff,1,plaintiff:topic,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0166_03,S0166,validation,3,"The current available evidence requires further monitoring, especially in relation to the relationship between warfarin and anticoagulation; after the latest information became available, the current reviewer, while comparing the available options. The discussion also considers anticoagulation.",medical,pharmacology,warfarin,anticoagulation plan,warfarin,topic_label,111,119,medical,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,anticoagulation; warfarin,2,anticoagulation:domain_lexical; warfarin:topic,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0008_10,S0008,train,10,"Further authorization is needed before a final decision is made about the decision surrounding coronary occlusion; following the previous discussion, the current reviewer, after the latest information was reviewed. The record specifically references myocardial ischemia.",medical,cardiology,acute myocardial infarction,chest-pain assessment,occlusion,domain_specific_lexical_fallback,104,113,medical,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,myocardial; occlusion; coronary; ischemia,4,myocardial:domain_lexical; occlusion:domain_lexical; coronary:domain_lexical; ischemia:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
